slippage_per_leg,slippage_bps_per_leg,observations,average_gross_edge_bps,average_net_edge_bps,minimum_net_edge_bps,maximum_net_edge_bps,executable_observations,executable_rate,average_net_profit,maximum_net_profit,average_net_roi
0.0,0.0,78,-11.28205128204962,-11.28205128205032,-20.000000000000018,-9.999999999998899,0,0.0,-1.128205128205032,-0.9999999999998899,-0.0011268224073382033
0.0005,5.0,78,-11.28205128204962,-21.282051282049213,-29.999999999998916,-19.999999999997797,0,0.0,-2.128205128204922,-1.9999999999997797,-0.0021235745141869023
0.001,10.0,78,-11.28205128204962,-31.282051282050354,-40.000000000000036,-29.999999999998916,0,0.0,-3.128205128205034,-2.9999999999998916,-0.0031183393328034167
0.002,20.0,78,-11.28205128204962,-51.28205128205037,-60.00000000000006,-49.999999999998934,0,0.0,-5.128205128205035,-4.999999999999893,-0.005101930831137586
0.005,50.0,78,-11.28205128204962,-111.28205128205038,-120.00000000000011,-109.99999999999899,0,0.0,-11.12820512820504,-10.999999999999899,-0.011005623055681023
