question,observations,first_timestamp,last_timestamp,average_yes_ask,average_no_ask,average_combined_ask,minimum_combined_ask,maximum_combined_ask,average_gross_edge,minimum_gross_edge,maximum_gross_edge,edge_std,positive_edge_observations,edge_at_least_0_1pct,edge_at_least_0_2pct,time_span_hours,gross_arbitrage_rate,research_rank
Will Gavin Newsom win the 2028 Democratic presidential nomination?,1,2026-09-21 12:51:05.797414+00:00,2026-09-21 12:51:05.797414+00:00,0.156,0.845,1.001,1.001,1.001,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0,0,0,0.0,0.0,1
Will Josh Shapiro win the 2028 Democratic presidential nomination?,1,2026-09-21 12:51:05.797414+00:00,2026-09-21 12:51:05.797414+00:00,0.058,0.943,1.001,1.001,1.001,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0,0,0,0.0,0.0,2
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,1,2026-09-21 12:51:05.797414+00:00,2026-09-21 12:51:05.797414+00:00,0.053,0.948,1.001,1.001,1.001,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0,0,0,0.0,0.0,3
Xi Jinping out before 2027?,1,2026-09-21 12:51:05.797414+00:00,2026-09-21 12:51:05.797414+00:00,0.039,0.962,1.001,1.001,1.001,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0,0,0,0.0,0.0,4
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,1,2026-09-21 12:51:05.797414+00:00,2026-09-21 12:51:05.797414+00:00,0.184,0.818,1.002,1.002,1.002,-0.002,-0.002,-0.002,0.0,0,0,0,0.0,0.0,5
